,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
44,TeGe2,cubic (F),0.4765853,6.194515686967652,6.194515686967652,6.194515686967652,90.0,90.0,90.0,237.69610830117765,Fm-3,228,219,0.5092896223068237,0.16029129922389984,0.15704654157161713,rhombohedral (P),0.17072049,5.937548973202953,5.937548973202953,5.937548973202953,77.1082744405917,77.1082744405917,77.1082744405917,195.56831648964726,166,160,161,0.6836933493614197,0.30993667244911194,0.0027813108172267675
45,Cl4S4,monoclinic (P),0.38419282,10.134433955527257,11.94453784675452,9.324320337053223,90.0,108.27497472982562,90.0,1071.7897568326289,P2_1/c,13,4,0.8394657373428345,0.07754816114902496,0.037699613720178604,orthorhombic (P),0.27568835,9.19321533652428,9.681366622502189,10.659253041758955,90.0,90.0,90.0,948.7043058385125,62,61,19,0.36607369780540466,0.1626945286989212,0.15434785187244415
46,PdAs,orthorhombic (P),0.2927421,6.406717022963092,4.250263976082708,5.547900109152717,90.0,90.0,90.0,151.07064352175263,Pnma,58,59,0.7552977800369263,0.03967323154211044,0.03677847981452942,cubic (P),0.2777294,5.878268068690692,5.878268068690692,5.878268068690692,90.0,90.0,90.0,203.11788344992138,205,198,221,0.9578863382339478,0.03721969947218895,0.0026293457485735416
47,SeC,monoclinic (P),0.27030072,6.231349796201009,5.951167255904327,7.362823263035527,90.0,102.03484570871107,90.0,267.0403148248086,P2_1/c,11,4,0.9114119410514832,0.03844550997018814,0.029380271211266518,orthorhombic (P),0.22900096,7.290589311881878,6.24910411115587,5.938851299923141,90.0,90.0,90.0,270.57199637594033,62,61,19,0.38567426800727844,0.24381977319717407,0.126333549618721
48,Te2As2,rhombohedral (P),0.36706224,8.489290626481948,8.489290626481948,8.489290626481948,28.51999087353808,28.51999087353808,28.51999087353808,123.28039795920083,R-3m,160,148,0.7408912777900696,0.24334348738193512,0.004212424159049988,hexagonal (P),0.20763297,3.904492491967205,3.904492491967205,14.516050957807657,90.0,90.0,120.0,191.64976889935554,164,156,186,0.9254422187805176,0.01527538150548935,0.014588067308068275
49,RuC3,orthorhombic (P),0.20229144,6.923743468216483,6.187519111803161,7.767203258652549,90.0,90.0,90.0,332.7531627976561,Pnma,58,19,0.2534778118133545,0.1354294717311859,0.13469786942005157,hexagonal (P),0.11974015,3.1263326120827037,3.1263326120827037,6.229443348545812,90.0,90.0,120.0,52.7290848893243,194,164,187,0.3921910524368286,0.14942918717861176,0.12230104207992554
50,AsS2,monoclinic (P),0.4085319,9.827167792180232,12.057833659251065,7.611862825440513,90.0,100.28536205878629,90.0,887.468849875815,P2_1/c,4,11,0.7844017744064331,0.09172455221414566,0.04642642289400101,orthorhombic (P),0.17713518,10.571773205817484,9.972848216679933,8.03982726991288,90.0,90.0,90.0,847.6445330325707,62,19,61,0.2266145944595337,0.18502093851566315,0.16362498700618744
51,As2O4,monoclinic (P),0.25421125,6.974603657577826,8.090837673128863,8.343543780279735,90.0,97.32954971519429,90.0,466.9821450274133,P2_1/c,11,4,0.9089095592498779,0.03913389891386032,0.02342628501355648,orthorhombic (P),0.1778745,8.11656329649855,8.287378011259054,7.569090606726006,90.0,90.0,90.0,509.13509303707417,62,19,33,0.2751689553260803,0.1599334478378296,0.09200684726238251
52,NbCl5,monoclinic (P),0.18522175,8.182791860546606,10.14355484933201,10.564992459583612,90.0,97.19371570133009,90.0,870.0190817176504,P2_1/c,13,4,0.5168279409408569,0.36622536182403564,0.04018145054578781,orthorhombic (P),0.15856056,12.954440857160458,10.615427891180275,8.08654442149555,90.0,90.0,90.0,1112.0367857121023,51,62,57,0.15369750559329987,0.15229356288909912,0.1342696249485016
53,SC,monoclinic (P),0.4020031,8.712336801381914,7.500483880524573,10.545632328762675,90.0,102.11388518123039,90.0,673.777609322075,P2_1/c,4,11,0.862459123134613,0.05740733444690704,0.03682168573141098,orthorhombic (P),0.2732617,7.6085851079136875,5.949871640851501,8.023114467679077,90.0,90.0,90.0,363.2072324579625,62,61,60,0.5899966955184937,0.18408767879009247,0.06473490595817566
