22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-4530,4,GdZnPO,P-3m1,640,TRUE,top-down,27,124,mp-545506
2dm-4531,4,NdZnPO,P-3m1,1729,FALSE,top-down,4,,mp-9518
2dm-4533,4,CoTeMoO6,P2_12_12,2436,FALSE,top-down,15,49,mp-560750
2dm-4534,4,Sr3Fe2S2O5,P4/mmm,0,FALSE,top-down,241,-276,mvc-3224
2dm-4535,4,Li3V(OF)2,P2/c,254,TRUE,top-down,191,,mp-765547
2dm-4536,4,Cu2As4S3Cl2,Pm,1162,TRUE,top-down,61,123,mp-560845
2dm-4541,4,LiV(OF)2,Pca2_1,2558,TRUE,top-down,86,71,mp-765790
2dm-4544,4,Ba3In2Br2O5,P4/mmm,1544,FALSE,top-down,14,42,mp-556004
2dm-4552,4,GaAg(PSe3)2,P312,972,FALSE,top-down,17,73,mp-7008
2dm-4557,4,CaHClO,P3m1,3642,TRUE,top-down,46,162,mp-642725
2dm-4560,4,KH4O2F,Pmc2_1,4942,FALSE,top-down,55,74,mp-983327
2dm-4561,4,Sr2Cu(BiO3)2,Pmna,0,FALSE,top-down,70,37,mp-555827
2dm-4562,4,LiFe2C2O7,P1,2476,FALSE,top-down,90,82,mp-762511
2dm-4573,4,LiVOF3,P2_1/c,2138,TRUE,top-down,60,47,mp-764842
2dm-4586,4,CoH6(SeO4)2,P2_1/c,2957,FALSE,top-down,53,84,mp-744574
2dm-4591,4,CdTeMoO6,P-42_1m,3234,FALSE,top-down,0,53,mp-565932
2dm-4596,4,MnNb2Zn2O8,P2/c,2453,FALSE,top-down,102,123,mp-620294
2dm-4597,4,Rb2Hg2PdCl8,C2/m,1556,TRUE,top-down,29,105,mp-568252
2dm-4598,4,CuH2(CO2)2,P2_1/c,0,FALSE,top-down,228,66,mp-643934
2dm-4600,4,TiTlPS5,P-1,1158,FALSE,top-down,0,93,mp-558747
2dm-4603,4,Sr2TiCu2O7,Pmc2_1,0,FALSE,top-down,143,25,mvc-269
2dm-4605,4,SrH4(SO4)3,P-1,5391,FALSE,top-down,4,,mp-757723
2dm-4607,4,MnSbSe2Br,Pmc2_1,115,FALSE,top-down,80,195,mp-567478
2dm-4611,4,Sr2FeSO3,P4/nmm,0,FALSE,top-down,199,53,mvc-3245
2dm-4616,4,Ca2FeClO3,P4/nmm,845,FALSE,top-down,34,33,mp-630511
2dm-4618,4,BaTl(NiO3)2,Pm,0,FALSE,top-down,448,,mvc-370
2dm-4622,4,BaTaCuO5,P4mm,0,FALSE,top-down,212,,mvc-7244
2dm-4623,4,Ba3BPO7,P3m1,18,FALSE,top-down,436,,mp-554479
2dm-4625,4,LiMnCr2O6,Cm,563,FALSE,top-down,181,,mp-850948
2dm-4632,4,Ta2Zn2FeO8,P2/c,2578,FALSE,top-down,98,119,mvc-2645
2dm-4637,4,LiNiPO4,Pmma,0,FALSE,top-down,481,,mp-32324
2dm-4638,4,Ta2Zn2CoO8,P2/c,2705,FALSE,top-down,101,121,mvc-2669
