material_id,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-1267,2,HgF2,P-3m1,1976,TRUE,bottom-up,59,170,2dm-5204
2dm-1268,2,IrBr4,P2_1/c,0,FALSE,bottom-up,85,,2dm-5163
2dm-1269,2,SrC2,P-3m1,198,FALSE,bottom-up,3193,2159,2dm-5517
2dm-127,2,SiCl3,P1,2900,FALSE,bottom-up,194,64,2dm-5235
2dm-1270,2,RuSe,P4/nmm,0,FALSE,bottom-up,74,97,2dm-5523
2dm-1271,2,SmC2,P4/mmm,0,FALSE,bottom-up,671,252,2dm-3160
2dm-1272,2,SiN3,P-3m1,831,FALSE,bottom-up,1207,64,2dm-5503
2dm-1273,2,VI4,P4/mmm,0,FALSE,bottom-up,164,203,2dm-3290
2dm-1274,2,NiN2,P-1,179,FALSE,bottom-up,175,,2dm-4348
2dm-1275,2,SO2,P2_1/c,3031,FALSE,bottom-up,40,-90,2dm-3694
2dm-1276,2,PbN2,Pmc2_1,0,FALSE,bottom-up,246,-1218,2dm-4912
2dm-1277,2,Bi5B,Pmc2_1,0,FALSE,bottom-up,585,,2dm-3922
2dm-1278,2,AlBi5,Pmc2_1,0,FALSE,bottom-up,398,265,2dm-3922
2dm-1279,2,GaBi5,Pmc2_1,0,FALSE,bottom-up,250,,2dm-3922
2dm-128,2,Ca5La,P1,0,FALSE,bottom-up,332,284,2dm-4891
2dm-1280,2,GeBi,C2/m,941,TRUE,bottom-up,147,105,2dm-3474
2dm-1281,2,InBi5,Pmc2_1,55,TRUE,bottom-up,252,,2dm-3922
2dm-1282,2,Si3Pt,P4/mbm,0,FALSE,bottom-up,484,365,2dm-5866
2dm-1283,2,Te5Ru4,P4/n,0,FALSE,bottom-up,241,,2dm-4626
2dm-1284,2,B4O3,P2_1/m,0,FALSE,bottom-up,598,-206,2dm-3496
2dm-1285,2,ReCl4,P2_1/c,0,FALSE,bottom-up,139,,2dm-5281
2dm-1286,2,BSb5,Pmc2_1,0,FALSE,bottom-up,620,,2dm-3922
